label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation,APC_Diameter_numeric,APC_Depth_numeric,type_score,priority_score,morphology_score,themis_lon_tile,themis_lat_tile,themis_tile,themis_quantitative_product_name
CC0242,236.2884,-3.37601,sky,1,,,Skylight,4688.848817899903,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0249,236.339,-3.49398,sky,1,,,Skylight,4738.836814890964,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0250,236.3663,-3.5139,sky,1,,,Skylight,4748.586335383874,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0254,243.448,17.93182,sky,1,,,Possible vent hole with attached tube or dike,2327.756061438456,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0255,240.8051,0.83864,sky,1,,,skylight as wide as channel in flood lavas,4968.892240453352,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0259,242.5594,7.67303,sky,1,,,Graben-edge 170x300m pit with strong overhang,3317.930091788716,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0265,248.8112,-3.67224,sky,1,,,Skylight in channel,6908.91712945055,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0270,248.0475,-8.22035,sky,1,,,Tube skylight pair,7073.250957500058,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0271,248.0475,-8.22235,sky,1,,,Tube skylight pair,7073.879486645192,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0273,248.6138,-2.17212,sky,1,,,hole in top of cone,6802.667967926399,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0277,249.978,-1.39307,sky,1,,,skylight,6153.23744885785,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0278,250.1003,-0.28812,sky,1,,,skylight,5873.214461556849,,,5,4,4.6,240E,30S,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp
CC0281,259.4139,3.17889,sky,1,,,Deep hole in channel,4509.503227245932,,,5,4,4.6,240E,00N,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp
CC0288,231.8906,-0.93933,sky,1,,,Lateral tube skylight,2749.512975703512,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
CC0292,235.5515,0.7771,sky,1,,,Solid looking lava tube skylight,3921.1734401808953,,,5,4,4.6,180E,00N,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp
CC0299,236.1482,-1.46228,sky,1,,,Skylight,4203.025792670121,,,5,4,4.6,180E,30S,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp
